,City
Los Angeles,39984
Miami,36233
Charlotte,22203
Houston,20843
Dallas,19497
Sacramento,18431
Orlando,16169
Portland,14805
San Diego,14090
Minneapolis,12653
Atlanta,11854
Chicago,11507
Saint Paul,10084
Phoenix,9934
Raleigh,9516
San Jose,9362
Richmond,8472
Nashville,8381
Riverside,8201
Jacksonville,7815
Salt Lake City,7737
Kansas City,7500
Baton Rouge,7085
Austin,7038
Oakland,6978
Tucson,6908
Denver,6803
San Bernardino,6653
Seattle,6531
New Orleans,6479
Anaheim,6209
Ontario,6151
Fort Lauderdale,6103
Bakersfield,6048
Tampa,5987
Long Beach,5893
Corona,5813
Bronx,5563
Rochester,5396
Detroit,5245
Fresno,4813
Indianapolis,4780
San Francisco,4640
Saint Louis,4251
New York,4220
Philadelphia,4185
Columbus,4073
Washington,4047
San Antonio,3930
Hialeah,3871
Whittier,3869
Fort Worth,3848
Brooklyn,3654
Columbia,3632
Cincinnati,3614
Arlington,3365
Chattanooga,3323
Grand Rapids,3278
Hayward,3274
Springfield,3266
Salem,3258
Oklahoma City,3226
Dayton,3158
Greenville,3149
Louisville,3111
Newark,3071
Irvine,3033
Baldwin Park,2992
Pomona,2981
Stockton,2936
Pasadena,2824
Tracy,2761
Lancaster,2756
Bradenton,2706
Pensacola,2658
Gardena,2654
Milwaukee,2632
Baltimore,2622
Glendale,2538
El Paso,2535
Santa Ana,2532
Fremont,2524
Bend,2520
Orange,2507
Sherman Oaks,2506
Norwalk,2470
Albany,2459
Saint Petersburg,2454
Fontana,2448
Shreveport,2377
Hollywood,2348
Sarasota,2331
Colton,2282
Norfolk,2227
Downey,2226
Memphis,2221
Ogden,2219
Diamond Bar,2215
Livermore,2200
Fairfield,2188
Cleveland,2166
West Valley City,2113
Santa Rosa,2112
Eugene,2111
Modesto,2105
Cerritos,2051
Redlands,2045
Kissimmee,2009
Pittsburgh,1964
Silver Spring,1960
Sylmar,1951
Flint,1943
Birmingham,1936
Las Vegas,1930
Tempe,1918
Fort Myers,1908
Moreno Valley,1907
Inglewood,1895
Buffalo,1886
