,State,Population
0,NY,8804190
1,CA,3898747
2,IL,2746388
3,TX,2304580
4,AZ,1608139
5,PA,1603797
6,TX,1434625
7,CA,1386932
8,TX,1304379
9,CA,1013240
10,TX,961855
11,FL,949611
12,TX,918915
13,OH,905748
14,IN,887642
15,NC,874579
16,CA,873965
17,WA,737015
18,CO,715522
19,DC,689545
20,TN,689447
21,OK,681054
22,TX,678815
23,MA,675647
24,OR,652503
25,NV,641903
26,MI,639111
27,TN,633104
28,KY,633045
29,MD,585708
30,WI,577222
31,NM,564559
32,AZ,542629
33,CA,542107
34,CA,524943
35,MO,508090
36,AZ,504258
37,GA,498715
38,NE,486051
39,CO,478961
40,NC,467665
41,CA,466742
42,VA,459470
43,FL,442241
44,CA,440646
45,MN,429954
46,OK,413066
47,CA,403455
48,KS,397532
49,TX,394266
50,CO,386261
51,FL,384959
52,LA,383997
53,OH,372624
54,HI,350964
55,CA,346824
56,KY,322570
57,CA,320804
58,TX,317863
59,NV,317610
60,CA,314998
61,NJ,311549
62,MN,311527
63,CA,310227
64,OH,309317
65,CA,307670
66,FL,307573
67,PA,302971
68,MO,301578
69,NC,299035
70,NJ,292449
71,AK,291247
72,NE,291082
73,TX,285494
74,NC,283506
75,NY,278349
76,AZ,275987
77,CA,275487
78,OH,270871
79,WI,269840
80,AZ,267918
81,NV,264165
82,IN,263886
83,NV,262527
84,FL,258308
85,TX,257141
86,TX,256684
87,TX,255205
88,NC,249545
89,VA,249422
90,AZ,248325
91,TX,246018
92,AZ,241361
93,VA,238005
94,ID,235684
95,CA,230504
96,WA,228989
97,CA,228673
98,LA,227470
99,VA,226610
100,FL,223109
101,CA,222101
102,WA,219346
103,CA,218464
104,AL,215006
105,IA,214133
106,NY,211569
107,NY,211328
108,CA,208634
109,NC,208501
110,CA,208393
111,GA,206922
112,MA,206518
113,FL,204851
114,AR,202591
115,GA,202081
116,CA,202063
117,AL,200733
118,AL,200603
119,TX,200509
120,TX,200393
121,UT,199723
122,MI,198917
123,CA,198711
124,KS,197238
125,CA,196543
126,FL,196169
127,TX,196100
128,TX,195308
129,FL,194016
130,SD,192517
131,AZ,190985
132,RI,190934
133,WA,190915
134,TN,190740
135,OH,190469
136,LA,187593
137,AL,187041
138,TX,186738
139,VA,186247
140,FL,182760
141,TN,181099
142,AZ,180587
143,IL,180542
144,CA,178127
145,OR,176654
146,CA,176124
147,OR,175535
148,CA,175265
149,NC,174721
150,CA,174453
151,CA,174068
152,CA,173516
153,CA,171949
154,FL,171178
155,CO,169810
156,CA,169450
157,MO,169176
158,TN,166722
159,CA,163542
160,CA,162954
161,NJ,159732
162,VA,159467
163,GA,157346
164,CA,157136
165,KS,156607
166,CO,155984
167,MA,155929
168,CA,155805
169,MS,153701
170,TX,153095
171,FL,153067
172,TN,152769
173,TX,151950
174,WA,151854
175,CA,151713
176,CA,151038
177,IL,150362
178,SC,150227
179,TX,150108
180,IL,149540
181,IL,148655
182,CT,148654
183,NY,148620
184,GA,147780
185,CA,147773
186,CA,147067
187,CA,143617
188,AZ,143148
189,TX,142210
190,CO,141867
191,CA,141384
192,KS,141290
193,FL,141085
194,UT,140230
195,CA,139911
196,TX,139869
197,MI,139387
198,CA,138699
199,TX,138486
200,IA,137710
201,OH,137644
202,NJ,137298
203,VA,137148
204,SC,136632
205,WA,136588
206,CT,135470
207,NJ,135158
208,CA,134810
209,FL,134721
210,FL,134394
211,MI,134346
212,CT,134023
213,TX,133434
214,TX,132524
215,OK,128026
216,CA,127647
217,GA,127315
218,CA,126966
219,KS,126587
220,CA,126356
221,MO,126254
222,CA,126090
223,ND,125990
224,PA,125845
225,TX,125828
226,CA,125410
227,TX,125182
228,CO,124402
229,CA,124321
230,MI,123851
231,MO,123011
232,MN,121395
233,LA,121374
234,CT,121054
235,TX,120511
236,CA,120124
237,CA,119881
238,FL,119760
239,TX,119469
240,TX,119468
241,MA,118403
242,ID,117635
243,FL,117415
244,IN,117298
245,FL,117292
246,MT,117116
247,UT,116961
248,CA,116448
249,CO,116317
250,NH,115644
251,MA,115554
