,City,Population
0,New York,8804190
1,Los Angeles,3898747
2,Chicago,2746388
3,Houston,2304580
4,Phoenix,1608139
5,Philadelphia,1603797
6,San Antonio,1434625
7,San Diego,1386932
8,Dallas,1304379
9,San Jose,1013240
10,Austin,961855
11,Jacksonville,949611
12,Fort Worth,918915
13,Columbus,905748
14,Indianapolis,887642
15,Charlotte,874579
16,San Francisco,873965
17,Seattle,737015
18,Denver,715522
19,Washington,689545
20,Nashville,689447
21,Oklahoma City,681054
22,El Paso,678815
23,Boston,675647
24,Portland,652503
25,Las Vegas,641903
26,Detroit,639111
27,Memphis,633104
28,Louisville,633045
29,Baltimore,585708
30,Milwaukee,577222
31,Albuquerque,564559
32,Tucson,542629
33,Fresno,542107
34,Sacramento,524943
35,Kansas City,508090
36,Mesa,504258
37,Atlanta,498715
38,Omaha,486051
39,Colorado Springs,478961
40,Raleigh,467665
41,Long Beach,466742
42,Virginia Beach,459470
43,Miami,442241
44,Oakland,440646
45,Minneapolis,429954
46,Tulsa,413066
47,Bakersfield,403455
48,Wichita,397532
49,Arlington,394266
50,Aurora,386261
51,Tampa,384959
52,New Orleans,383997
53,Cleveland,372624
54,Honolulu,350964
55,Anaheim,346824
56,Lexington,322570
57,Stockton,320804
58,Corpus Christi,317863
59,Henderson,317610
60,Riverside,314998
61,Newark,311549
62,St Paul,311527
63,Santa Ana,310227
64,Cincinnati,309317
65,Irvine,307670
66,Orlando,307573
67,Pittsburgh,302971
68,St Louis,301578
69,Greensboro,299035
70,Jersey City,292449
71,Anchorage,291247
72,Lincoln,291082
73,Plano,285494
74,Durham,283506
75,Buffalo,278349
76,Chandler,275987
77,Chula Vista,275487
78,Toledo,270871
79,Madison,269840
80,Gilbert,267918
81,Reno,264165
82,Fort Wayne,263886
83,North Las Vegas,262527
84,St Petersburg,258308
85,Lubbock,257141
86,Irving,256684
87,Laredo,255205
88,Winston Salem,249545
89,Chesapeake,249422
90,Glendale,248325
91,Garland,246018
92,Scottsdale,241361
93,Norfolk,238005
94,Boise,235684
95,Fremont,230504
96,Spokane,228989
97,Santa Clarita,228673
98,Baton Rouge,227470
99,Richmond,226610
100,Hialeah,223109
101,San Bernardino,222101
102,Tacoma,219346
103,Modesto,218464
104,Huntsville,215006
105,Des Moines,214133
106,Yonkers,211569
107,Rochester,211328
108,Moreno Valley,208634
109,Fayetteville,208501
110,Fontana,208393
111,Columbus,206922
112,Worcester,206518
113,Port St Lucie,204851
114,Little Rock,202591
115,Augusta,202081
116,Oxnard,202063
117,Birmingham,200733
118,Montgomery,200603
119,Frisco,200509
120,Amarillo,200393
121,Salt Lake City,199723
122,Grand Rapids,198917
123,Huntington Beach,198711
124,Overland Park,197238
125,Glendale,196543
126,Tallahassee,196169
127,Grand Prairie,196100
128,McKinney,195308
129,Cape Coral,194016
130,Sioux Falls,192517
131,Peoria,190985
132,Providence,190934
133,Vancouver,190915
134,Knoxville,190740
135,Akron,190469
136,Shreveport,187593
137,Mobile,187041
138,Brownsville,186738
139,Newport News,186247
140,Fort Lauderdale,182760
141,Chattanooga,181099
142,Tempe,180587
143,Aurora,180542
144,Santa Rosa,178127
145,Eugene,176654
146,Elk Grove,176124
147,Salem,175535
148,Ontario,175265
149,Cary,174721
150,Rancho Cucamonga,174453
151,Oceanside,174068
152,Lancaster,173516
153,Garden Grove,171949
154,Pembroke Pines,171178
155,Fort Collins,169810
156,Palmdale,169450
157,Springfield,169176
158,Clarksville,166722
159,Salinas,163542
160,Hayward,162954
161,Paterson,159732
162,Alexandria,159467
163,Macon,157346
164,Corona,157136
165,Kansas City,156607
166,Lakewood,155984
167,Springfield,155929
168,Sunnyvale,155805
169,Jackson,153701
170,Killeen,153095
171,Hollywood,153067
172,Murfreesboro,152769
173,Pasadena,151950
174,Bellevue,151854
175,Pomona,151713
176,Escondido,151038
177,Joliet,150362
178,Charleston,150227
179,Mesquite,150108
180,Naperville,149540
181,Rockford,148655
182,Bridgeport,148654
183,Syracuse,148620
184,Savannah,147780
185,Roseville,147773
186,Torrance,147067
187,Fullerton,143617
188,Surprise,143148
189,McAllen,142210
190,Thornton,141867
191,Visalia,141384
192,Olathe,141290
193,Gainesville,141085
194,West Valley City,140230
195,Orange,139911
196,Denton,139869
197,Warren,139387
198,Pasadena,138699
199,Waco,138486
200,Cedar Rapids,137710
201,Dayton,137644
202,Elizabeth,137298
203,Hampton,137148
204,Columbia,136632
205,Kent,136588
206,Stamford,135470
207,Lakewood,135158
208,Victorville,134810
209,Miramar,134721
210,Coral Springs,134394
211,Sterling Heights,134346
212,New Haven,134023
213,Carrollton,133434
214,Midland,132524
215,Norman,128026
216,Santa Clara,127647
217,Athens,127315
218,Thousand Oaks,126966
219,Topeka,126587
220,Simi Valley,126356
221,Columbia,126254
