California,39149186,39337785,39437463,39437610,39368078
Texas,27914064,28291024,28624564,28986794,29360759
Florida,20627237,20977089,21254926,21492056,21733312
New York,19636391,19593849,19544098,19463131,19336776
Pennsylvania,12788468,12794679,12809107,12798883,12783254
Illinois,12821709,12779893,12724685,12667017,12587530
Ohio,11640060,11665706,11680892,11696507,11693217
Georgia,10308442,10417031,10519389,10628020,10710017
North Carolina,10161802,10275758,10391358,10501384,10600823
Michigan,9954117,9976752,9987286,9984795,9966555
New Jersey,8873584,8888147,8891730,8891258,8882371
Virginia,8417651,8471011,8510920,8556642,8590563
Washington,7299961,7427951,7526793,7614024,7693612
Arizona,6944767,7048088,7164228,7291843,7421401
Massachusetts,6827280,6863560,6885720,6894883,6893574
Tennessee,6651277,6714748,6778180,6830325,6886834
Indiana,6637898,6662068,6698481,6731010,6754953
Missouri,6091384,6111382,6125986,6140475,6151548
Maryland,6007014,6028186,6042153,6054954,6055802
Wisconsin,5775170,5793147,5809319,5824581,5832655
